InvoiceNo,StockCode,Quantity,UnitPrice
536398,21232,12,1.25
536398,22064,12,1.65
536398,22449,6,3.35
536398,22114,4,3.95
536398,22835,8,4.65
536398,22112,9,4.95
536398,21479,4,3.75
536398,22111,9,4.95
536399,22632,6,1.85
536399,22633,6,1.85
536400,22969,12,1.45
536401,22110,1,2.55
536401,22098,1,1.25
536401,22100,2,1.25
536401,22766,1,2.95
536401,22451,1,3.35
536401,22549,1,1.45
536401,84744,1,1.25
536401,85049E,2,1.25
536401,21328,1,1.65
536401,22961,4,1.45
536401,17091A,1,1.25
536401,22473,1,4.95
536401,84509A,2,3.75
536401,84510A,2,1.25
536401,22767,2,9.95
536401,22768,1,9.95
536401,21463,1,5.95
536401,21464,1,4.25
536401,20820,3,4.95
536401,85150,1,2.55
536401,22117,1,2.95
536401,21169,2,1.69
536401,48129,1,7.95
536401,82580,1,0.55
536401,82578,1,0.55
536401,82581,2,0.55
536401,22413,4,2.95
536401,21907,2,2.1
536401,22441,1,2.1
536401,21122,1,1.25
536401,22851,1,0.85
536401,84991,3,0.55
536401,22810,1,2.95
536401,22809,1,2.95
536401,22435,2,1.25
536401,20966,3,1.25
536401,20963,1,1.25
536401,20961,1,1.25
536401,22068,2,1.65
536401,21743,2,2.95
536401,21744,2,2.95
536401,84709B,1,5.95
536401,21592,1,1.25
536401,21587,2,2.55
536401,20992,9,0.85
536401,22662,1,1.65
536401,85123A,4,2.95
536401,22804,3,2.95
536401,82483,1,5.95
536401,20749,1,7.95
536401,20725,1,1.65
536401,22382,2,1.65
536401,20726,1,1.65
536401,22384,1,1.65
536401,22467,5,2.55
536401,84625C,3,2.95
536401,84625A,3,2.95
536401,21108,9,2.55
536401,22848,1,16.95
536401,21033,4,2.95
536401,47570B,1,10.65
536401,84030E,1,4.25
536401,22428,2,6.95
536401,22502,2,5.95
536402,22086,40,2.55
536402,22910,40,2.55
536402,22837,36,4.25
536403,22867,96,1.85
536403,POST,1,15.0
536404,22297,24,1.25
536404,22771,12,1.25
536404,22772,12,1.25
536404,22773,12,1.25
536404,22805,12,1.25
536404,22469,12,1.65
536404,22197,36,0.85
536404,21125,12,1.25
536404,21126,12,1.25
536404,85049C,12,1.25
536404,85049D,12,1.25
536404,85049E,12,1.25
536404,85049G,12,1.25
536404,21061,12,0.85
536404,21063,12,0.85
536404,21062,12,0.85
536404,84380,12,1.25
536404,84378,12,1.25
536404,22964,12,2.1
536404,21213,24,0.55
536404,22417,24,0.55
536404,21212,24,0.55
536404,84992,24,0.55
536404,21975,24,0.55
536404,22383,10,1.65
536404,20728,10,1.65
536404,20727,10,1.65
536404,22296,24,1.65
536405,20914,128,2.55
536406,85123A,8,2.55
536406,71053,8,3.39
536406,84406B,8,2.75
536406,20679,6,4.95
536406,37370,6,1.06
536406,21871,6,1.06
536406,21071,6,1.06
536406,21068,6,1.06
536406,82483,4,4.95
536406,82486,4,6.95
536406,82482,6,2.1
536406,82494L,6,2.55
536406,84029G,6,3.39
536406,84029E,6,3.39
536406,22752,2,7.65
536406,22803,2,35.75
536406,21730,6,4.25
536407,22632,6,1.85
536407,22633,6,1.85
536408,22537,24,0.42
536408,22533,24,0.42
536408,20982,12,0.85
536408,21832,12,1.65
536408,21915,12,1.25
536408,21914,12,1.25
536408,21544,12,0.85
536408,22813,12,1.95
536408,22114,4,3.95
536408,84029E,4,3.75
536408,21479,4,3.75
536408,22964,6,2.1
536408,84375,12,2.1
536408,22418,24,0.85
536408,22178,12,1.25
536408,84970L,12,0.95
536408,21733,6,2.95
536408,22465,12,1.65
536408,84949,6,1.65
536408,20685,2,7.95
536408,48194,2,7.95
536408,22488,12,1.65
536408,22219,12,0.85
536408,84879,8,1.69
536408,21754,3,5.95
536408,21755,3,5.95
536408,22766,8,2.95
536408,22610,36,0.85
536408,22716,12,0.42
536408,22706,25,0.42
536408,22371,4,4.25
536408,85014B,3,5.95
536408,85014A,3,5.95
536408,84997B,6,3.75
536408,21212,24,0.55
536408,21210,12,1.45
536408,22914,3,4.95
536408,22553,12,1.65
536408,16237,30,0.21
536408,22714,12,0.42
536408,22812,12,1.95
536408,84347,6,2.55
536408,21587,12,2.55
536408,22736,10,1.65
536408,22492,36,0.65
536408,22620,12,1.25
536408,22619,4,3.75
536408,21705,12,1.65
536409,90199C,3,6.35
536409,21479,1,3.75
536409,22111,1,4.95
536409,22785,1,6.75
536409,22975,1,1.25
536409,22972,1,1.65
536409,22866,1,2.1
536409,22568,1,3.75
536409,85116,1,2.1
536409,22664,1,2.1
536409,21609,1,2.95
536409,21866,1,1.25
536409,20669,1,1.25
536409,90129F,1,2.95
536409,90210B,1,2.95
536409,90199C,1,6.35
536409,21955,1,7.95
536409,72802C,1,4.25
536409,22109,1,3.75
536409,85116,5,2.1
536409,22531,1,0.42
536409,21811,1,1.25
536409,22183,1,6.75
536409,21678,6,0.85
536409,21676,6,0.85
536409,84625A,1,2.95
536409,84625C,3,2.95
536409,21931,2,1.95
536409,85169B,12,1.25
536409,16238,28,0.21
536409,20668,24,0.12
536409,84906,1,5.95
536409,21867,1,1.25
536409,22075,1,1.65
536409,21326,12,0.65
536409,21065,1,5.95
536409,22074,1,1.65
536409,22900,1,2.95
536409,20713,1,1.95
536409,20966,2,1.25
536409,21116,1,4.95
536409,90199C,2,6.35
536409,22633,1,2.1
536409,22198,1,1.65
536409,21824,3,1.45
536409,21823,3,1.45
536409,22153,6,0.42
536409,22197,2,0.85
536409,85099B,2,1.95
536409,85099F,1,1.95
536409,20717,1,1.25
536409,20723,1,0.85
536409,21980,12,0.29
536409,22112,1,4.95
536412,20728,3,1.65
536412,22382,3,1.65
536412,22326,1,2.95
536412,22662,4,1.65
536412,22383,3,1.65
536412,20727,3,1.65
536412,22328,1,2.95
536412,22327,1,2.95
536412,22630,1,1.95
536412,22629,1,1.95
536412,21245,1,1.69
536412,21244,1,1.69
536412,21242,1,1.69
536412,21243,1,1.69
536412,22273,1,2.95
536412,22940,3,4.25
536412,22652,5,1.65
536412,22759,1,1.65
536412,21880,10,0.65
536412,21738,1,2.95
536412,22077,1,1.65
536412,85049E,3,1.25
536412,22961,24,1.45
536412,21448,2,1.65
536412,22837,3,4.65
536412,22749,2,3.75
536412,22940,1,4.25
536412,22749,1,3.75
536412,22077,2,1.65
536412,21738,2,2.95
536412,85049E,1,1.25
536412,22243,6,1.65
536412,22141,1,2.1
536412,22144,2,2.1
536412,22243,3,1.65
536412,22077,7,1.65
536412,21448,1,1.65
536412,22759,5,1.65
536412,22242,5,1.65
536412,85049E,12,1.25
536412,21731,5,1.65
536412,22243,1,1.65
536412,21739,2,2.95
536412,21738,5,2.95
536412,22271,2,2.95
536412,22274,2,2.95
536412,22751,2,3.75
536412,21034,1,0.95
536412,22273,2,2.95
536412,22568,3,3.75
536412,22144,1,2.1
536412,22570,3,3.75
536412,22569,2,3.75
536412,22086,1,2.95
536412,22968,4,9.95
536412,22902,7,2.1
536412,21710,1,4.95
536412,21708,1,4.95
536412,21711,1,4.95
536412,22179,2,6.75
536412,22197,5,0.85
536412,22900,2,2.95
536412,21706,1,4.95
536412,22468,2,6.75
536412,20725,1,1.65
536412,85184C,1,2.95
536412,22988,6,1.25
536412,20750,1,7.95
536414,22139,56,0.0
536415,22952,10,0.55
536415,22910,5,2.95
536415,22739,3,1.65
536415,22738,3,1.65
536415,22736,3,1.65
536415,22909,5,0.85
536415,35591T,2,1.25
536415,22186,5,2.95
536415,22695,3,1.45
536415,22470,1,2.95
536415,22580,1,5.95
536415,22469,5,1.65
536415,22147,4,1.45
536415,22130,6,0.85
536415,21791,3,1.25
536415,22694,5,2.1
536415,21790,3,0.85
536415,22149,4,2.1
536415,22900,3,2.95
536415,22961,3,1.45
536415,22321,12,0.85
536415,22594,5,0.85
536415,22593,4,0.85
536415,22595,6,0.85
536415,21986,12,0.29
536415,22750,2,3.75
536415,22616,12,0.29
536415,22775,1,1.25
536415,22899,2,2.1
536415,22367,3,1.95
536415,22942,3,8.5
536415,22941,3,8.5
536415,22086,6,2.95
536415,22940,2,4.25
536415,21212,2,0.55
536415,21976,2,0.55
536415,22951,2,0.55
536415,21977,3,0.55
536415,22834,3,2.1
536415,22867,3,2.1
536415,22865,3,2.1
536415,22632,3,2.1
536415,21916,2,0.42
536415,22587,4,0.85
536415,22566,3,0.85
536415,22565,3,0.85
536415,22472,2,4.95
536415,22557,3,1.65
536415,22551,3,1.65
536415,22554,3,1.65
536415,22534,3,0.42
536415,22531,3,0.42
536415,22529,3,0.42
536415,22530,3,0.42
536415,84032B,3,2.95
536415,22837,3,4.65
536415,85049H,2,1.25
536415,22749,2,3.75
536415,22807,12,2.95
536416,21494,12,1.25
536416,21915,72,1.25
536416,22938,12,1.95
536416,22768,4,9.95
536416,22767,4,9.95
536416,82494L,6,2.95
536420,21889,12,1.25
536420,21892,12,1.25
536420,21891,12,1.25
536420,21890,6,2.95
536420,21718,12,1.25
536420,21716,8,2.55
536420,21715,8,2.55
536420,22113,4,3.75
536420,22111,3,4.95
536420,22110,6,2.55
536420,22358,6,2.95
536420,22357,4,4.25
536420,22115,6,2.95
536420,22969,12,1.45
536423,22619,4,3.75
536423,21481,6,2.95
536423,22632,12,2.1
536423,22837,8,4.65
536423,21479,8,3.75
536423,21485,8,4.95
536423,84029E,8,3.75
536423,22111,16,4.95
536423,22113,8,3.75
536425,22837,8,4.65
536425,22585,12,1.25
536425,79321,8,4.95
536425,22637,12,2.55
536425,21556,6,2.55
536425,22646,12,1.45
536425,22644,12,1.45
536425,22645,12,1.45
536425,22650,12,1.45
536425,22508,8,3.75
536425,21411,3,4.25
536425,22511,4,3.75
536425,22451,6,3.35
536425,22449,6,3.35
536425,22768,2,9.95
536425,22829,2,9.95
536425,22961,12,1.45
536437,21154,200,1.06
536437,22189,72,3.39
536437,17021,600,0.24
536437,22059,48,1.25
536437,22188,36,3.39
536437,84678,48,1.25
536446,85172,32,0.42
536446,22142,2,1.45
536446,22144,2,2.1
536446,21591,6,1.25
536446,22480,12,1.25
536446,22294,48,1.25
536446,21156,1,1.95
536446,10133,5,0.85
536446,72800E,6,2.55
536446,22294,24,1.25
536446,84836,12,1.25
536446,20774,2,1.65
536446,20773,2,1.65
536446,20777,2,1.65
536446,16016,10,0.85
536446,16014,10,0.42
536446,21890,2,2.95
536446,21891,2,1.25
536446,22619,8,3.75
536446,22620,6,1.25
536446,84347,12,2.55
536446,85169B,24,1.25
536446,21156,3,1.95
536446,21651,6,1.65
536446,84625C,10,2.95
536446,22618,2,9.95
536446,21586,4,2.55
536446,21587,4,2.55
536446,22152,24,0.42
536446,85172,16,0.42
536446,84754,24,1.25
536460,22670,12,1.25
536460,21586,12,2.55
536460,84992,24,0.55
536460,84879,24,1.69
536460,84849B,12,1.69
536460,22927,2,5.95
536460,22926,4,5.95
536460,22925,2,5.95
536460,21977,24,0.55
536460,21485,6,4.95
536460,21484,8,3.45
536460,21259,2,5.95
536460,21257,2,7.95
536460,21121,24,1.25
536463,82552,12,1.45
536464,90200B,2,4.25
536464,90059B,2,1.65
536464,90185C,2,4.25
536464,90059E,3,1.65
536464,90059C,1,1.65
536464,90200C,1,4.25
536464,90200D,3,4.25
536464,90200A,1,4.25
536464,22386,1,1.95
536464,85099B,1,1.95
536464,84879,8,1.69
536464,22086,1,2.95
536464,22737,1,1.65
536464,21260,1,3.25
536464,22744,2,2.95
536464,21985,1,0.29
536464,21980,1,0.29
536464,22988,1,1.25
536464,22297,1,1.25
536464,22294,1,1.25
536464,22295,1,1.65
536464,22813,2,1.95
536464,22812,6,1.95
536464,22197,5,0.85
536464,21977,1,0.55
536464,22619,1,3.75
536464,16258A,1,0.42
536464,21992,1,2.95
536464,22910,1,2.95
536464,21124,1,1.25
536464,22735,2,1.65
536464,22952,2,0.55
536464,22945,6,0.85
536464,21816,2,1.45
536464,21815,4,1.45
536464,21814,2,1.45
536464,10125,2,0.85
536464,22810,1,2.95
536464,22573,1,0.85
536464,22577,1,0.85
536464,22603,2,0.85
536464,22809,1,2.95
536464,20878,1,1.25
536464,20866,1,1.25
536464,85095,1,1.95
536464,22333,1,1.65
536464,22557,1,1.65
536464,21584,1,1.65
536464,22866,1,2.1
536464,22731,2,1.25
536464,22866,3,2.1
536464,22558,2,1.49
536464,22956,1,2.1
536464,22582,1,2.55
536464,21212,1,0.55
536464,21212,2,0.55
536464,22585,3,1.25
536464,21121,1,1.25
536464,21122,1,1.25
536464,22759,1,1.65
536464,21815,1,1.45
536464,85231B,3,0.85
536464,85231G,5,0.85
536464,22082,5,1.65
536464,22500,2,4.95
536464,22742,1,2.95
536464,21329,1,1.65
536464,21328,1,1.65
536464,21327,1,1.65
536464,21738,1,2.95
536464,48173C,1,7.95
536464,85099C,1,1.95
536464,22960,1,4.25
536464,85231G,1,0.85
536464,85231B,2,0.85
536464,72818,1,0.85
536464,21814,8,1.45
536464,22441,1,2.1
536464,22312,1,2.95
536464,22197,6,0.85
536464,22663,1,1.95
536466,22960,6,4.25
536466,22961,12,1.45
536477,21314,48,1.85
536477,84029E,24,3.39
536477,21137,480,3.39
536477,22041,48,2.1
536477,20979,16,1.25
536477,20977,16,1.25
536477,22619,4,3.75
536477,22571,96,0.72
536477,22595,144,0.72
536477,22593,144,0.72
536477,22633,12,2.1
536477,22632,12,2.1
536477,22423,16,10.95
536477,22411,10,1.95
536488,22738,5,1.65
536488,21621,1,8.5
536488,22960,8,4.25
536488,22082,5,1.65
536488,47563A,1,3.75
536488,84558A,1,2.95
536488,21592,1,1.25
536488,20878,2,1.25
536488,84347,1,2.55
536488,21577,1,2.25
536488,22909,1,0.85
536488,22087,1,2.95
536488,22651,2,0.85
536488,22713,12,0.42
536488,22910,1,2.95
536488,21370,2,6.35
536488,21367,1,2.55
536488,22376,1,4.25
536488,22961,1,1.45
536488,21895,1,4.25
536488,22468,1,6.75
536488,21034,1,0.95
536488,22372,1,4.25
536488,22867,1,2.1
536488,22144,1,2.1
536488,21190,1,1.65
536488,21894,3,1.25
536488,70007,3,1.65
536488,22940,1,4.25
536488,70007,1,1.65
536488,84347,3,2.55
536488,22150,1,1.95
536488,22149,2,2.1
536488,22144,2,2.1
536500,21622,10,4.95
536500,46000M,10,1.55
536500,22630,2,1.95
536500,22616,12,0.29
536500,22712,12,0.42
536500,22983,12,0.42
536500,22024,12,0.42
536500,22113,3,3.75
536500,84029E,2,3.75
536500,21488,2,3.95
536500,22900,7,2.95
536500,22895,3,2.95
536500,21035,3,2.95
536500,21755,6,5.95
536500,21754,6,5.95
536502,84879,16,1.69
536502,22784,3,4.95
536502,21441,12,0.85
536502,85123A,6,2.95
536502,22423,2,12.75
536508,84947,72,1.06
536508,21326,144,0.55
C536506,22960,-6,4.25
536514,22865,36,2.1
536514,22485,4,12.75
536514,22807,6,2.95
536514,22633,36,2.1
536514,22866,36,2.1
536520,21794,1,6.75
536520,20707,1,1.25
536520,21175,1,2.1
536520,22926,1,5.95
536520,22588,2,2.55
536520,21292,16,0.85
536520,21890,1,2.95
536520,22632,4,2.1
536520,22633,3,2.1
536520,22670,1,1.25
536520,21867,1,1.25
536520,22760,1,12.75
536520,22107,2,3.75
536520,22470,1,2.95
536520,21486,1,3.75
536520,22151,14,0.42
536520,22643,4,2.55
536520,22642,4,2.55
536520,22604,3,2.55
536520,22099,2,1.25
536520,22553,1,1.65
536520,22551,1,1.65
536520,22653,1,1.95
536520,22557,2,1.65
536520,22906,6,1.65
536520,22754,1,0.85
536520,22938,5,1.95
536520,22812,3,1.95
536520,22919,2,0.65
536520,22917,1,0.65
536520,22920,3,0.65
536520,22921,2,0.65
536520,22918,2,0.65
536520,22916,1,0.65
536520,85123A,3,2.95
536520,22575,1,1.95
536520,21804,3,3.75
536520,21584,12,1.65
536520,21588,3,2.55
536520,22152,12,0.42
536520,22441,1,2.1
536520,22955,2,2.1
536520,22956,2,2.1
536520,22582,2,2.55
536520,22583,3,2.55
536520,22241,2,1.25
536520,22904,3,2.95
536520,22905,2,2.95
536520,22197,3,0.85
536520,22092,1,1.25
536520,22469,1,1.65
536520,22100,1,1.25
536520,22096,1,1.25
536520,22583,1,2.55
536520,21358,2,1.25
536520,21123,1,1.25
536520,21124,1,1.25
536520,21122,1,1.25
536520,84378,1,1.25
536520,21985,12,0.29
536520,21427,2,2.1
536520,21034,2,0.95
536520,21930,1,1.95
536520,20772,1,2.55
536520,22469,2,1.65
536520,71406C,12,0.42
536520,84985A,1,1.45
536520,20754,1,2.1
536520,84596E,1,1.25
536520,21111,1,2.95
536520,22501,1,9.95
536521,22854,1,4.95
536522,84997D,1,3.75
536522,47599A,1,2.1
536522,47599B,1,2.1
536522,22749,1,3.75
536522,20972,1,1.25
536522,22569,1,3.75
536522,21041,1,2.95
536522,21664,2,3.75
536522,84969,1,4.25
536522,22907,1,0.85
536522,22865,2,2.1
536522,22866,1,2.1
536522,22632,2,2.1
536522,22776,1,9.95
536522,22338,2,0.65
536522,21810,2,1.25
536522,22449,1,3.35
536522,21197,1,1.65
536522,85231G,1,0.85
536522,21121,1,1.25
536522,22151,2,0.42
536522,84836,2,1.25
536522,21326,12,0.65
536522,85035B,1,4.25
536522,84968C,1,12.75
536522,85231B,1,0.85
536522,22739,5,1.65
536522,37370,2,1.25
536522,22941,1,8.5
536522,21098,2,1.25
536522,22151,1,0.42
536522,84836,1,1.25
536522,20914,1,2.95
536522,22749,2,3.75
536522,21190,1,1.65
536522,84997C,1,3.75
536522,21810,1,1.25
536522,21192,3,1.65
536522,85014A,1,5.95
536522,21124,2,1.25
536522,72800B,2,2.55
536522,84563A,1,5.95
536522,22107,2,3.75
536522,47504H,1,1.95
536522,21122,1,1.25
536522,21742,1,5.95
536522,22566,1,0.85
536522,21664,1,3.75
536522,22632,1,2.1
536522,22481,3,1.25
536522,85099B,1,1.95
536522,21931,1,1.95
536523,22943,6,4.95
536523,22468,2,6.75
536523,22149,6,2.1
536523,21485,3,4.95
536523,21259,2,5.95
536523,22969,12,1.45
536523,22699,6,2.95
536523,22217,12,1.25
536523,22227,24,0.65
536523,22219,12,0.85
536523,22111,3,4.95
536523,22294,24,1.25
536524,21111,6,2.95
536524,21106,6,2.95
536524,21107,6,2.95
536524,22697,6,2.95
536525,21826,2,1.25
536525,21791,1,1.25
536525,22548,1,1.25
536525,22149,1,2.1
536525,17164B,2,0.42
536525,22423,2,12.75
536525,22429,1,4.25
536525,22428,1,6.95
536525,20974,3,0.65
536525,20973,2,0.65
536525,15044B,1,2.95
536525,21324,2,2.95
536525,20750,10,7.95
536526,21135,16,1.69
536526,22173,16,2.95
536526,22626,2,8.5
536526,22625,6,8.5
536526,22624,6,8.5
536526,21929,20,1.95
536526,85099B,10,1.95
536526,22411,10,1.95
536526,22113,8,3.75
536527,22809,6,2.95
536527,84347,6,2.55
536527,84945,12,0.85
536527,22242,12,1.65
536527,22244,12,1.95
536527,22243,12,1.65
536527,47421,24,0.42
536527,20712,10,1.95
536527,20713,10,1.95
536527,22837,4,4.65
536527,22969,12,1.45
536527,22973,12,1.65
536527,84569B,12,1.25
536527,22549,12,1.45
536527,POST,1,18.0
536528,22815,12,0.42
536528,22865,1,2.1
536528,22585,6,1.25
536528,21587,1,2.55
536528,84985A,1,1.45
536528,85114B,1,1.65
536528,22813,3,1.95
536528,22128,6,1.25
536528,22839,1,14.95
536528,22584,2,2.55
536528,22130,12,0.85
536528,22938,3,1.95
536528,22411,1,1.95
536528,21731,2,1.65
536528,22616,1,0.29
536528,22454,1,2.95
536528,21992,1,2.95
536528,22326,4,2.95
536528,22082,1,1.65
536528,85049E,1,1.25
536528,22077,2,1.65
536528,85049A,1,1.25
536528,22865,2,2.1
536528,22867,3,2.1
536528,22910,3,2.95
536528,22963,2,0.85
536528,22960,1,4.25
536528,85114C,1,1.65
536528,22974,2,1.65
536528,22423,1,12.75
536528,21452,2,2.95
536528,22938,1,1.95
536528,22812,3,1.95
536528,22744,2,2.95
536528,22743,1,2.95
536528,22911,1,2.95
536528,22585,5,1.25
536528,22900,1,2.95
536528,22961,1,1.45
536528,22454,2,2.95
536528,22453,1,2.95
536528,22445,4,2.95
536528,22568,3,3.75
536528,22570,1,3.75
536528,22607,1,9.95
536528,22635,1,9.95
536528,22634,1,9.95
536528,22968,3,9.95
536529,22222,3,4.95
