InvoiceNo,CustomerID,InvoiceDate,Country
536526,14001.0,2010-12-01 12:58:00,United Kingdom
536527,12662.0,2010-12-01 13:04:00,Germany
536528,15525.0,2010-12-01 13:17:00,United Kingdom
536529,14237.0,2010-12-01 13:20:00,United Kingdom
536530,17905.0,2010-12-01 13:21:00,United Kingdom
536531,15485.0,2010-12-01 13:23:00,United Kingdom
536532,12433.0,2010-12-01 13:24:00,Norway
536533,16955.0,2010-12-01 13:31:00,United Kingdom
536534,15350.0,2010-12-01 13:33:00,United Kingdom
536535,15605.0,2010-12-01 13:38:00,United Kingdom
536536,18144.0,2010-12-01 13:45:00,United Kingdom
536537,15922.0,2010-12-01 13:51:00,United Kingdom
536538,14594.0,2010-12-01 13:54:00,United Kingdom
536539,15165.0,2010-12-01 14:03:00,United Kingdom
536540,14911.0,2010-12-01 14:05:00,EIRE
536541,14911.0,2010-12-01 14:05:00,EIRE
536542,16456.0,2010-12-01 14:11:00,United Kingdom
C536543,17841.0,2010-12-01 14:30:00,United Kingdom
536544,,2010-12-01 14:32:00,United Kingdom
536545,,2010-12-01 14:32:00,United Kingdom
536546,,2010-12-01 14:33:00,United Kingdom
536547,,2010-12-01 14:33:00,United Kingdom
C536548,12472.0,2010-12-01 14:33:00,Germany
536549,,2010-12-01 14:34:00,United Kingdom
536550,,2010-12-01 14:34:00,United Kingdom
536551,17346.0,2010-12-01 14:34:00,United Kingdom
536552,,2010-12-01 14:34:00,United Kingdom
536553,,2010-12-01 14:35:00,United Kingdom
536554,,2010-12-01 14:35:00,United Kingdom
536555,,2010-12-01 14:37:00,United Kingdom
536556,17643.0,2010-12-01 14:38:00,United Kingdom
536557,17841.0,2010-12-01 14:41:00,United Kingdom
536558,,2010-12-01 14:48:00,United Kingdom
536559,17873.0,2010-12-01 14:54:00,United Kingdom
536560,13093.0,2010-12-01 15:00:00,United Kingdom
536561,12921.0,2010-12-01 15:06:00,United Kingdom
536562,13468.0,2010-12-01 15:08:00,United Kingdom
536563,17760.0,2010-12-01 15:08:00,United Kingdom
536564,13468.0,2010-12-01 15:08:00,United Kingdom
536565,,2010-12-01 15:15:00,United Kingdom
536566,16928.0,2010-12-01 15:21:00,United Kingdom
536567,16048.0,2010-12-01 15:27:00,United Kingdom
536568,16048.0,2010-12-01 15:28:00,United Kingdom
536569,16274.0,2010-12-01 15:35:00,United Kingdom
536570,14496.0,2010-12-01 15:35:00,United Kingdom
536571,14696.0,2010-12-01 15:37:00,United Kingdom
536572,16539.0,2010-12-01 15:40:00,United Kingdom
536573,17025.0,2010-12-01 15:45:00,United Kingdom
536574,17025.0,2010-12-01 15:46:00,United Kingdom
536575,13777.0,2010-12-01 16:01:00,United Kingdom
536576,13777.0,2010-12-01 16:11:00,United Kingdom
536577,13777.0,2010-12-01 16:13:00,United Kingdom
536578,17690.0,2010-12-01 16:15:00,United Kingdom
536579,13777.0,2010-12-01 16:16:00,United Kingdom
536580,17690.0,2010-12-01 16:17:00,United Kingdom
536581,13777.0,2010-12-01 16:19:00,United Kingdom
536582,12947.0,2010-12-01 16:21:00,United Kingdom
536583,13777.0,2010-12-01 16:21:00,United Kingdom
536584,13777.0,2010-12-01 16:22:00,United Kingdom
536585,17460.0,2010-12-01 16:24:00,United Kingdom
536586,18229.0,2010-12-01 16:25:00,United Kingdom
536587,14142.0,2010-12-01 16:33:00,United Kingdom
536588,17069.0,2010-12-01 16:49:00,United Kingdom
536589,,2010-12-01 16:50:00,United Kingdom
536590,13065.0,2010-12-01 16:52:00,United Kingdom
536591,14606.0,2010-12-01 16:58:00,United Kingdom
536592,,2010-12-01 17:06:00,United Kingdom
536593,16835.0,2010-12-01 17:15:00,United Kingdom
536594,15235.0,2010-12-01 17:22:00,United Kingdom
536595,13576.0,2010-12-01 17:24:00,United Kingdom
536596,,2010-12-01 17:29:00,United Kingdom
536597,18011.0,2010-12-01 17:35:00,United Kingdom
536598,13090.0,2010-12-02 07:48:00,United Kingdom
536599,15694.0,2010-12-02 07:49:00,United Kingdom
536600,17850.0,2010-12-02 08:32:00,United Kingdom
536601,17850.0,2010-12-02 08:33:00,United Kingdom
536602,17850.0,2010-12-02 08:34:00,United Kingdom
536603,17850.0,2010-12-02 08:40:00,United Kingdom
536604,14741.0,2010-12-02 08:43:00,United Kingdom
536605,13715.0,2010-12-02 08:52:00,United Kingdom
C536606,14092.0,2010-12-02 09:10:00,United Kingdom
536607,17732.0,2010-12-02 09:29:00,United Kingdom
536608,12855.0,2010-12-02 09:37:00,United Kingdom
536609,17850.0,2010-12-02 09:41:00,United Kingdom
536610,17850.0,2010-12-02 09:42:00,United Kingdom
536611,15752.0,2010-12-02 09:43:00,United Kingdom
536612,17850.0,2010-12-02 09:44:00,United Kingdom
536613,17855.0,2010-12-02 09:44:00,United Kingdom
536614,17850.0,2010-12-02 09:44:00,United Kingdom
536615,14047.0,2010-12-02 10:09:00,United Kingdom
536616,17925.0,2010-12-02 10:10:00,United Kingdom
536617,13941.0,2010-12-02 10:17:00,United Kingdom
536618,17017.0,2010-12-02 10:17:00,United Kingdom
536619,17017.0,2010-12-02 10:18:00,United Kingdom
536620,14135.0,2010-12-02 10:27:00,United Kingdom
536621,13108.0,2010-12-02 10:35:00,United Kingdom
C536622,12471.0,2010-12-02 10:37:00,Germany
536623,15601.0,2010-12-02 10:39:00,United Kingdom
536624,13418.0,2010-12-02 10:45:00,United Kingdom
536626,13418.0,2010-12-02 10:46:00,United Kingdom
C536625,14766.0,2010-12-02 10:46:00,United Kingdom
536627,15658.0,2010-12-02 10:53:00,United Kingdom
536628,17850.0,2010-12-02 10:54:00,United Kingdom
536629,17850.0,2010-12-02 10:55:00,United Kingdom
536630,17850.0,2010-12-02 10:56:00,United Kingdom
536631,17850.0,2010-12-02 10:58:00,United Kingdom
536632,14388.0,2010-12-02 11:02:00,United Kingdom
536633,14901.0,2010-12-02 11:20:00,United Kingdom
536634,18041.0,2010-12-02 11:21:00,United Kingdom
536635,15955.0,2010-12-02 11:22:00,United Kingdom
536636,15070.0,2010-12-02 11:23:00,United Kingdom
536637,18041.0,2010-12-02 11:35:00,United Kingdom
536638,16244.0,2010-12-02 11:41:00,United Kingdom
536639,15111.0,2010-12-02 11:45:00,United Kingdom
536640,,2010-12-02 11:45:00,United Kingdom
536641,12748.0,2010-12-02 11:46:00,United Kingdom
C536642,14390.0,2010-12-02 11:56:00,United Kingdom
536643,14390.0,2010-12-02 11:57:00,United Kingdom
536663,16546.0,2010-12-02 12:07:00,United Kingdom
536667,15260.0,2010-12-02 12:09:00,United Kingdom
536670,15260.0,2010-12-02 12:09:00,United Kingdom
536671,13305.0,2010-12-02 12:10:00,United Kingdom
536672,14491.0,2010-12-02 12:10:00,United Kingdom
536673,14060.0,2010-12-02 12:11:00,United Kingdom
536674,15923.0,2010-12-02 12:16:00,United Kingdom
536676,16752.0,2010-12-02 12:18:00,United Kingdom
536681,17287.0,2010-12-02 12:22:00,United Kingdom
536685,17850.0,2010-12-02 12:23:00,United Kingdom
536688,17850.0,2010-12-02 12:24:00,United Kingdom
536690,17850.0,2010-12-02 12:25:00,United Kingdom
536693,17850.0,2010-12-02 12:26:00,United Kingdom
536698,15363.0,2010-12-02 12:28:00,United Kingdom
536707,12915.0,2010-12-02 12:33:00,United Kingdom
536732,15544.0,2010-12-02 12:47:00,United Kingdom
536733,15738.0,2010-12-02 12:50:00,United Kingdom
C536734,16042.0,2010-12-02 12:50:00,United Kingdom
536735,17381.0,2010-12-02 12:58:00,United Kingdom
536736,17381.0,2010-12-02 12:59:00,United Kingdom
C536737,15922.0,2010-12-02 13:05:00,United Kingdom
536738,15827.0,2010-12-02 13:06:00,United Kingdom
536739,14180.0,2010-12-02 13:08:00,United Kingdom
536740,15827.0,2010-12-02 13:08:00,United Kingdom
536741,13117.0,2010-12-02 13:11:00,United Kingdom
536742,16916.0,2010-12-02 13:14:00,United Kingdom
536743,17964.0,2010-12-02 13:32:00,United Kingdom
536744,14466.0,2010-12-02 13:36:00,United Kingdom
536745,17235.0,2010-12-02 13:38:00,United Kingdom
536746,16510.0,2010-12-02 13:39:00,United Kingdom
536747,17802.0,2010-12-02 13:44:00,United Kingdom
536748,15107.0,2010-12-02 13:45:00,United Kingdom
536749,17976.0,2010-12-02 13:49:00,United Kingdom
536750,17850.0,2010-12-02 14:04:00,United Kingdom
536751,17850.0,2010-12-02 14:05:00,United Kingdom
536752,17850.0,2010-12-02 14:06:00,United Kingdom
536753,17850.0,2010-12-02 14:07:00,United Kingdom
536754,14449.0,2010-12-02 14:09:00,United Kingdom
536755,,2010-12-02 14:14:00,United Kingdom
536756,,2010-12-02 14:23:00,United Kingdom
C536757,15838.0,2010-12-02 14:23:00,United Kingdom
C536758,13767.0,2010-12-02 14:25:00,United Kingdom
536759,16781.0,2010-12-02 14:26:00,United Kingdom
C536760,17547.0,2010-12-02 14:29:00,United Kingdom
536761,13491.0,2010-12-02 14:30:00,United Kingdom
536762,16186.0,2010-12-02 14:40:00,United Kingdom
536763,17685.0,2010-12-02 14:42:00,United Kingdom
536764,,2010-12-02 14:42:00,United Kingdom
536765,,2010-12-02 14:43:00,United Kingdom
536769,17581.0,2010-12-02 14:47:00,United Kingdom
536771,17581.0,2010-12-02 14:49:00,United Kingdom
536777,15732.0,2010-12-02 15:00:00,United Kingdom
536778,13138.0,2010-12-02 15:03:00,United Kingdom
536779,15823.0,2010-12-02 15:08:00,United Kingdom
536780,,2010-12-02 15:09:00,United Kingdom
536781,17460.0,2010-12-02 15:14:00,United Kingdom
536782,17567.0,2010-12-02 15:18:00,United Kingdom
536783,15061.0,2010-12-02 15:19:00,United Kingdom
536784,15061.0,2010-12-02 15:20:00,United Kingdom
536785,15061.0,2010-12-02 15:22:00,United Kingdom
536786,15061.0,2010-12-02 15:23:00,United Kingdom
536787,17850.0,2010-12-02 15:24:00,United Kingdom
536788,15061.0,2010-12-02 15:25:00,United Kingdom
536789,17850.0,2010-12-02 15:25:00,United Kingdom
536790,17850.0,2010-12-02 15:26:00,United Kingdom
536791,17850.0,2010-12-02 15:27:00,United Kingdom
536792,15061.0,2010-12-02 15:28:00,United Kingdom
536793,16203.0,2010-12-02 15:39:00,United Kingdom
536794,13767.0,2010-12-02 15:40:00,United Kingdom
536795,15640.0,2010-12-02 15:40:00,United Kingdom
536796,15574.0,2010-12-02 15:46:00,United Kingdom
536797,16770.0,2010-12-02 15:49:00,United Kingdom
536798,17838.0,2010-12-02 15:55:00,United Kingdom
536799,17228.0,2010-12-02 16:00:00,United Kingdom
536800,14829.0,2010-12-02 16:12:00,United Kingdom
536801,,2010-12-02 16:12:00,United Kingdom
536802,17412.0,2010-12-02 16:29:00,United Kingdom
536803,14911.0,2010-12-02 16:33:00,EIRE
536804,14031.0,2010-12-02 16:34:00,United Kingdom
536805,14775.0,2010-12-02 16:38:00,United Kingdom
536806,12971.0,2010-12-02 16:42:00,United Kingdom
C536807,15834.0,2010-12-02 16:45:00,United Kingdom
536808,17659.0,2010-12-02 16:46:00,United Kingdom
536809,15299.0,2010-12-02 16:48:00,United Kingdom
536810,15299.0,2010-12-02 16:50:00,United Kingdom
536811,15299.0,2010-12-02 16:51:00,United Kingdom
C536812,16546.0,2010-12-02 16:58:00,United Kingdom
536813,15646.0,2010-12-02 16:59:00,United Kingdom
C536814,13958.0,2010-12-02 17:03:00,United Kingdom
C536815,14443.0,2010-12-02 17:05:00,United Kingdom
C536816,14443.0,2010-12-02 17:06:00,United Kingdom
C536817,14156.0,2010-12-02 17:08:00,EIRE
C536818,16995.0,2010-12-02 17:09:00,United Kingdom
536819,13402.0,2010-12-02 17:12:00,United Kingdom
C536820,18168.0,2010-12-02 17:14:00,United Kingdom
536821,17757.0,2010-12-02 17:17:00,United Kingdom
C536822,14625.0,2010-12-02 17:19:00,United Kingdom
536823,13011.0,2010-12-02 17:22:00,United Kingdom
536824,13798.0,2010-12-02 17:24:00,United Kingdom
C536825,15384.0,2010-12-02 17:27:00,United Kingdom
C536826,17924.0,2010-12-02 17:30:00,United Kingdom
C536827,13408.0,2010-12-02 17:31:00,United Kingdom
C536828,14264.0,2010-12-02 17:35:00,United Kingdom
C536829,13295.0,2010-12-02 17:36:00,United Kingdom
536830,16754.0,2010-12-02 17:38:00,United Kingdom
536831,16029.0,2010-12-02 17:40:00,United Kingdom
536832,16634.0,2010-12-02 17:41:00,United Kingdom
536833,18239.0,2010-12-02 17:48:00,United Kingdom
536834,14576.0,2010-12-02 17:51:00,United Kingdom
536835,13145.0,2010-12-02 18:06:00,United Kingdom
536836,18168.0,2010-12-02 18:08:00,United Kingdom
536837,14395.0,2010-12-02 18:15:00,United Kingdom
536838,14865.0,2010-12-02 18:23:00,United Kingdom
536839,15093.0,2010-12-02 18:25:00,United Kingdom
536840,12738.0,2010-12-02 18:27:00,Germany
536841,16150.0,2010-12-02 18:27:00,United Kingdom
536842,17552.0,2010-12-02 18:45:00,United Kingdom
536843,17552.0,2010-12-02 18:46:00,United Kingdom
536844,14236.0,2010-12-02 18:49:00,United Kingdom
536845,17961.0,2010-12-02 19:18:00,United Kingdom
536846,14573.0,2010-12-02 19:59:00,United Kingdom
536847,17135.0,2010-12-03 09:31:00,United Kingdom
536848,13408.0,2010-12-03 09:39:00,United Kingdom
536849,17396.0,2010-12-03 09:45:00,United Kingdom
C536850,14213.0,2010-12-03 09:47:00,United Kingdom
536851,12967.0,2010-12-03 09:49:00,United Kingdom
536852,12686.0,2010-12-03 09:51:00,France
C536853,14679.0,2010-12-03 10:07:00,United Kingdom
C536854,15240.0,2010-12-03 10:09:00,United Kingdom
C536855,18225.0,2010-12-03 10:11:00,United Kingdom
536856,13370.0,2010-12-03 10:26:00,United Kingdom
536857,16883.0,2010-12-03 10:33:00,United Kingdom
536858,13520.0,2010-12-03 10:36:00,Switzerland
536859,12841.0,2010-12-03 10:43:00,United Kingdom
536860,16905.0,2010-12-03 10:43:00,United Kingdom
536861,12427.0,2010-12-03 10:44:00,Germany
536862,,2010-12-03 11:13:00,United Kingdom
536863,17967.0,2010-12-03 11:19:00,United Kingdom
536864,,2010-12-03 11:27:00,United Kingdom
536865,,2010-12-03 11:28:00,United Kingdom
536866,,2010-12-03 11:28:00,United Kingdom
536874,16891.0,2010-12-03 11:35:00,United Kingdom
536876,,2010-12-03 11:36:00,United Kingdom
536883,,2010-12-03 11:41:00,United Kingdom
536884,14589.0,2010-12-03 11:42:00,United Kingdom
536885,,2010-12-03 11:42:00,EIRE
536890,14156.0,2010-12-03 11:48:00,EIRE
536920,,2010-12-03 12:01:00,United Kingdom
536938,14680.0,2010-12-03 12:05:00,United Kingdom
536941,,2010-12-03 12:08:00,United Kingdom
536942,,2010-12-03 12:08:00,United Kingdom
536943,17884.0,2010-12-03 12:11:00,United Kingdom
536944,12557.0,2010-12-03 12:20:00,Spain
536945,14083.0,2010-12-03 12:24:00,United Kingdom
536946,13013.0,2010-12-03 12:28:00,United Kingdom
536947,13013.0,2010-12-03 12:29:00,United Kingdom
536954,17809.0,2010-12-03 12:41:00,United Kingdom
536956,14210.0,2010-12-03 12:43:00,United Kingdom
536957,17809.0,2010-12-03 12:43:00,United Kingdom
536960,16477.0,2010-12-03 12:48:00,United Kingdom
536967,12600.0,2010-12-03 12:57:00,Germany
536968,16013.0,2010-12-03 13:09:00,United Kingdom
536969,16013.0,2010-12-03 13:10:00,United Kingdom
536970,17949.0,2010-12-03 13:12:00,United Kingdom
536971,12779.0,2010-12-03 13:40:00,Poland
536972,16926.0,2010-12-03 13:42:00,United Kingdom
536973,17787.0,2010-12-03 13:43:00,United Kingdom
536974,12682.0,2010-12-03 13:59:00,France
536975,14911.0,2010-12-03 14:04:00,EIRE
536976,14723.0,2010-12-03 14:18:00,United Kingdom
536977,17954.0,2010-12-03 14:18:00,United Kingdom
C536978,17954.0,2010-12-03 14:19:00,United Kingdom
C536979,17841.0,2010-12-03 14:23:00,United Kingdom
536980,17819.0,2010-12-03 14:26:00,United Kingdom
536981,14723.0,2010-12-03 14:26:00,United Kingdom
536982,,2010-12-03 14:27:00,United Kingdom
536983,12712.0,2010-12-03 14:30:00,Germany
536984,17841.0,2010-12-03 14:35:00,United Kingdom
536985,15373.0,2010-12-03 14:40:00,United Kingdom
536986,16140.0,2010-12-03 14:40:00,United Kingdom
536987,17198.0,2010-12-03 14:54:00,United Kingdom
536988,17238.0,2010-12-03 15:05:00,United Kingdom
536989,17238.0,2010-12-03 15:10:00,United Kingdom
536990,12793.0,2010-12-03 15:14:00,Portugal
536991,,2010-12-03 15:16:00,United Kingdom
536992,15769.0,2010-12-03 15:16:00,United Kingdom
536993,14396.0,2010-12-03 15:19:00,United Kingdom
536994,14898.0,2010-12-03 15:25:00,United Kingdom
536995,,2010-12-03 15:29:00,United Kingdom
536996,,2010-12-03 15:30:00,United Kingdom
536997,,2010-12-03 15:30:00,United Kingdom
536998,,2010-12-03 15:30:00,United Kingdom
536999,,2010-12-03 15:32:00,United Kingdom
537000,,2010-12-03 15:32:00,United Kingdom
537001,,2010-12-03 15:33:00,United Kingdom
537002,,2010-12-03 15:33:00,United Kingdom
537003,,2010-12-03 15:33:00,United Kingdom
537004,,2010-12-03 15:34:00,United Kingdom
537005,,2010-12-03 15:35:00,United Kingdom
537006,,2010-12-03 15:36:00,United Kingdom
537007,,2010-12-03 15:36:00,United Kingdom
537008,,2010-12-03 15:37:00,United Kingdom
537009,,2010-12-03 15:38:00,United Kingdom
537010,,2010-12-03 15:38:00,United Kingdom
537011,,2010-12-03 15:38:00,United Kingdom
537012,,2010-12-03 15:39:00,United Kingdom
537013,,2010-12-03 15:40:00,United Kingdom
537014,,2010-12-03 15:40:00,United Kingdom
537015,,2010-12-03 15:41:00,United Kingdom
537016,,2010-12-03 15:41:00,United Kingdom
537017,,2010-12-03 15:41:00,United Kingdom
537018,,2010-12-03 15:42:00,United Kingdom
537019,,2010-12-03 15:43:00,United Kingdom
537020,,2010-12-03 15:43:00,United Kingdom
537021,,2010-12-03 15:43:00,United Kingdom
537022,12725.0,2010-12-03 15:45:00,Italy
537023,16725.0,2010-12-03 16:02:00,United Kingdom
537025,,2010-12-03 16:21:00,United Kingdom
C537024,13941.0,2010-12-03 16:21:00,United Kingdom
537026,12395.0,2010-12-03 16:35:00,Belgium
537027,,2010-12-03 16:36:00,United Kingdom
537028,,2010-12-03 16:36:00,United Kingdom
537029,,2010-12-03 16:37:00,United Kingdom
537030,16455.0,2010-12-03 16:44:00,United Kingdom
537031,16455.0,2010-12-03 16:45:00,United Kingdom
537032,,2010-12-03 16:50:00,United Kingdom
537034,13081.0,2010-12-03 17:20:00,United Kingdom
537035,13081.0,2010-12-03 17:21:00,United Kingdom
537036,15545.0,2010-12-03 17:28:00,United Kingdom
537037,17243.0,2010-12-05 10:03:00,United Kingdom
537038,15465.0,2010-12-05 10:12:00,United Kingdom
C537039,15708.0,2010-12-05 10:25:00,United Kingdom
537040,13089.0,2010-12-05 10:27:00,United Kingdom
537041,16033.0,2010-12-05 10:36:00,United Kingdom
537042,13838.0,2010-12-05 10:45:00,United Kingdom
C537043,15351.0,2010-12-05 10:48:00,United Kingdom
537044,18055.0,2010-12-05 10:52:00,United Kingdom
537045,15038.0,2010-12-05 10:54:00,United Kingdom
537046,18109.0,2010-12-05 10:58:00,United Kingdom
537047,13069.0,2010-12-05 11:02:00,United Kingdom
537048,13069.0,2010-12-05 11:03:00,United Kingdom
537049,16241.0,2010-12-05 11:04:00,United Kingdom
537050,14800.0,2010-12-05 11:10:00,United Kingdom
537051,15708.0,2010-12-05 11:12:00,United Kingdom
537052,16839.0,2010-12-05 11:15:00,United Kingdom
537053,16168.0,2010-12-05 11:38:00,United Kingdom
537054,16931.0,2010-12-05 11:40:00,United Kingdom
537055,16814.0,2010-12-05 11:45:00,United Kingdom
537057,15351.0,2010-12-05 11:49:00,United Kingdom
537058,13269.0,2010-12-05 11:51:00,United Kingdom
537059,14813.0,2010-12-05 11:54:00,United Kingdom
537065,12567.0,2010-12-05 11:57:00,France
537067,14813.0,2010-12-05 11:57:00,United Kingdom
537077,17062.0,2010-12-05 11:59:00,United Kingdom
537081,15332.0,2010-12-05 12:00:00,Lithuania
537086,15332.0,2010-12-05 12:01:00,Lithuania
537090,15332.0,2010-12-05 12:02:00,Lithuania
537111,14810.0,2010-12-05 12:08:00,United Kingdom
537117,16353.0,2010-12-05 12:09:00,United Kingdom
537126,18118.0,2010-12-05 12:13:00,United Kingdom
537127,13831.0,2010-12-05 12:13:00,United Kingdom
537128,12841.0,2010-12-05 12:15:00,United Kingdom
537129,13506.0,2010-12-05 12:15:00,United Kingdom
537130,17796.0,2010-12-05 12:23:00,United Kingdom
537131,15716.0,2010-12-05 12:26:00,United Kingdom
537133,18156.0,2010-12-05 12:29:00,United Kingdom
C537132,15221.0,2010-12-05 12:29:00,United Kingdom
537134,16983.0,2010-12-05 12:34:00,United Kingdom
537135,17059.0,2010-12-05 12:35:00,United Kingdom
537136,12748.0,2010-12-05 12:42:00,United Kingdom
537137,16327.0,2010-12-05 12:43:00,United Kingdom
537138,17211.0,2010-12-05 12:44:00,United Kingdom
537139,17026.0,2010-12-05 12:47:00,United Kingdom
537140,12748.0,2010-12-05 12:53:00,United Kingdom
537141,15570.0,2010-12-05 12:57:00,United Kingdom
537142,12748.0,2010-12-05 12:57:00,United Kingdom
C537143,12748.0,2010-12-05 12:58:00,United Kingdom
537144,15880.0,2010-12-05 13:00:00,United Kingdom
537153,16718.0,2010-12-05 13:03:00,United Kingdom
537154,15808.0,2010-12-05 13:05:00,United Kingdom
537155,12748.0,2010-12-05 13:05:00,United Kingdom
537156,17858.0,2010-12-05 13:08:00,United Kingdom
C537157,15880.0,2010-12-05 13:09:00,United Kingdom
537158,16393.0,2010-12-05 13:10:00,United Kingdom
537159,14527.0,2010-12-05 13:17:00,United Kingdom
537160,14161.0,2010-12-05 13:18:00,United Kingdom
537163,17863.0,2010-12-05 13:21:00,United Kingdom
C537164,14527.0,2010-12-05 13:21:00,United Kingdom
537176,16411.0,2010-12-05 13:26:00,United Kingdom
537179,13767.0,2010-12-05 13:29:00,United Kingdom
537192,16402.0,2010-12-05 13:42:00,United Kingdom
537193,15023.0,2010-12-05 13:49:00,United Kingdom
537194,17402.0,2010-12-05 13:53:00,United Kingdom
537195,15311.0,2010-12-05 13:55:00,United Kingdom
537196,15426.0,2010-12-05 13:55:00,United Kingdom
537197,12647.0,2010-12-05 14:02:00,Germany
537198,12647.0,2010-12-05 14:03:00,Germany
537199,15894.0,2010-12-05 14:06:00,United Kingdom
537200,15867.0,2010-12-05 14:17:00,United Kingdom
537201,12472.0,2010-12-05 14:19:00,Germany
537202,14506.0,2010-12-05 14:25:00,United Kingdom
C537203,14606.0,2010-12-05 14:44:00,United Kingdom
537204,15555.0,2010-12-05 14:45:00,United Kingdom
537205,13034.0,2010-12-05 14:52:00,United Kingdom
537206,15235.0,2010-12-05 15:02:00,United Kingdom
537207,17402.0,2010-12-05 15:06:00,United Kingdom
537208,15889.0,2010-12-05 15:12:00,United Kingdom
537209,14606.0,2010-12-05 15:12:00,United Kingdom
537210,15953.0,2010-12-05 15:15:00,United Kingdom
537211,16143.0,2010-12-05 15:18:00,United Kingdom
537212,12720.0,2010-12-05 15:21:00,Germany
537213,12748.0,2010-12-05 15:26:00,United Kingdom
537214,16422.0,2010-12-05 15:35:00,United Kingdom
537215,12747.0,2010-12-05 15:38:00,United Kingdom
537216,15502.0,2010-12-05 15:40:00,United Kingdom
537217,15502.0,2010-12-05 15:40:00,United Kingdom
537218,12763.0,2010-12-05 15:46:00,Japan
537219,14081.0,2010-12-05 15:47:00,United Kingdom
537220,,2010-12-05 15:49:00,United Kingdom
537221,17965.0,2010-12-05 15:54:00,United Kingdom
